year,university,department,admission_type,track_name
2026,가천대학교,신소재공학과,학생부종합,가천바람개비전형
2026,가천대학교,바이오나노학과,학생부종합,가천바람개비전형
2026,가천대학교,식품생명공학과,학생부종합,가천바람개비전형
2026,가천대학교,식품영양학과,학생부종합,가천바람개비전형
2026,가천대학교,생명과학과,학생부종합,가천바람개비전형
2026,가천대학교,반도체물리학과,학생부종합,가천바람개비전형
2026,가천대학교,화학과,학생부종합,가천바람개비전형
2026,가천대학교,"반도체대학(전자공학,반도체공학)",학생부종합,가천바람개비전형
2026,가천대학교,시스템반도체학과,학생부종합,가천바람개비전형
2026,가천대학교,클라우드공학과,학생부종합,가천바람개비전형
2026,가천대학교,인공지능학과,학생부종합,가천바람개비전형
2026,가천대학교,컴퓨터공학과,학생부종합,가천바람개비전형
2026,가천대학교,스마트보안학과,학생부종합,가천바람개비전형
2026,가천대학교,전기공학과,학생부종합,가천바람개비전형
2026,가천대학교,스마트시티학과,학생부종합,가천바람개비전형
2026,가천대학교,의공학과,학생부종합,가천바람개비전형
2026,가천대학교,간호학과,학생부종합,가천바람개비전형
2026,가천대학교,치위생학과,학생부종합,가천바람개비전형
2026,가천대학교,응급구조학과,학생부종합,가천바람개비전형
2026,가천대학교,물리치료학과,학생부종합,가천바람개비전형
2026,가천대학교,방사선학과,학생부종합,가천바람개비전형
2026,가천대학교,운동재활학과,학생부종합,가천바람개비전형
2026,가천대학교,바이오로직스학과,학생부종합,가천바람개비전형
2026,가천대학교,경영학과,학생부종합,기회균형전형
2026,가천대학교,회계세무학과,학생부종합,기회균형전형
2026,가천대학교,관광경영학과,학생부종합,기회균형전형
2026,가천대학교,의료산업경영학과,학생부종합,기회균형전형
2026,가천대학교,"금융빅데이터학부(금융수학,빅데이터경영)",학생부종합,기회균형전형
2026,가천대학교,미디어커뮤니케이션학과,학생부종합,기회균형전형
2026,가천대학교,경제학과,학생부종합,기회균형전형
2026,가천대학교,응용통계학과,학생부종합,기회균형전형
2026,가천대학교,사회복지학과,학생부종합,기회균형전형
2026,가천대학교,유아교육학과,학생부종합,기회균형전형
2026,가천대학교,심리학과,학생부종합,기회균형전형
2026,가천대학교,패션산업학과,학생부종합,기회균형전형
2026,가천대학교,"AI인문대학(한국어문,영미영문,중국어문, 일본어문,유럽어문)",학생부종합,기회균형전형
2026,가천대학교,"법과대학(법학,경찰행정,행정)",학생부종합,기회균형전형
2026,가천대학교,도시계획조경학부,학생부종합,기회균형전형
2026,가천대학교,건축학부,학생부종합,기회균형전형
2026,가천대학교,화공생명배터리공학부,학생부종합,기회균형전형
2026,가천대학교,"기계공학부 (기계공학,산업공학,설비소방공학)",학생부종합,기회균형전형
2026,가천대학교,건설환경공학과,학생부종합,기회균형전형
2026,가천대학교,신소재공학과,학생부종합,기회균형전형
2026,가천대학교,바이오나노학과,학생부종합,기회균형전형
2026,가천대학교,식품생명공학과,학생부종합,기회균형전형
2026,가천대학교,식품영양학과,학생부종합,기회균형전형
2026,가천대학교,생명과학과,학생부종합,기회균형전형
2026,가천대학교,반도체물리학과,학생부종합,기회균형전형
2026,가천대학교,화학과,학생부종합,기회균형전형
2026,가천대학교,"반도체대학(전자공학,반도체공학)",학생부종합,기회균형전형
2026,가천대학교,인공지능학과,학생부종합,기회균형전형
2026,가천대학교,컴퓨터공학과,학생부종합,기회균형전형
2026,가천대학교,전기공학과,학생부종합,기회균형전형
2026,가천대학교,의공학과,학생부종합,기회균형전형
2026,가천대학교,간호학과,학생부종합,기회균형전형
2026,가천대학교,의예과,학생부종합,기회균형전형
2026,가천대학교,경영학과,학생부종합,농어촌(종합)전형
2026,가천대학교,관광경영학과,학생부종합,농어촌(종합)전형
2026,가천대학교,"금융빅데이터학부(금융수학,빅데이터경영)",학생부종합,농어촌(종합)전형
2026,가천대학교,미디어커뮤니케이션학과,학생부종합,농어촌(종합)전형
2026,가천대학교,경제학과,학생부종합,농어촌(종합)전형
2026,가천대학교,응용통계학과,학생부종합,농어촌(종합)전형
2026,가천대학교,사회복지학과,학생부종합,농어촌(종합)전형
2026,가천대학교,심리학과,학생부종합,농어촌(종합)전형
2026,가천대학교,패션산업학과,학생부종합,농어촌(종합)전형
2026,가천대학교,"AI인문대학(한국어문,영미영문,중국어문, 일본어문,유럽어문)",학생부종합,농어촌(종합)전형
2026,가천대학교,"법과대학(법학,경찰행정,행정)",학생부종합,농어촌(종합)전형
2026,가천대학교,도시계획조경학부,학생부종합,농어촌(종합)전형
2026,가천대학교,건축학부,학생부종합,농어촌(종합)전형
2026,가천대학교,화공생명배터리공학부,학생부종합,농어촌(종합)전형
2026,가천대학교,"기계공학부 (기계공학,산업공학,설비소방공학)",학생부종합,농어촌(종합)전형
2026,가천대학교,건설환경공학과,학생부종합,농어촌(종합)전형
2026,가천대학교,신소재공학과,학생부종합,농어촌(종합)전형
2026,가천대학교,식품영양학과,학생부종합,농어촌(종합)전형
2026,가천대학교,생명과학과,학생부종합,농어촌(종합)전형
2026,가천대학교,화학과,학생부종합,농어촌(종합)전형
2026,가천대학교,"반도체대학(전자공학,반도체공학)",학생부종합,농어촌(종합)전형
2026,가천대학교,인공지능학과,학생부종합,농어촌(종합)전형
2026,가천대학교,컴퓨터공학과,학생부종합,농어촌(종합)전형
2026,가천대학교,전기공학과,학생부종합,농어촌(종합)전형
2026,가천대학교,스마트시티학과,학생부종합,농어촌(종합)전형
2026,가천대학교,의공학과,학생부종합,농어촌(종합)전형
2026,가천대학교,간호학과,학생부종합,농어촌(종합)전형
2026,가천대학교,치위생학과,학생부종합,농어촌(종합)전형
2026,가천대학교,물리치료학과,학생부종합,농어촌(종합)전형
2026,가천대학교,방사선학과,학생부종합,농어촌(종합)전형
2026,가천대학교,의예과,학생부종합,농어촌(종합)전형
2026,가천대학교,바이오로직스학과,학생부종합,농어촌(종합)전형
2026,가천대학교,약학과,학생부종합,교육기회균형
2026,가천대학교,경영학과,학생부종합,특성화고졸재직자전형(외)
2026,가천대학교,컴퓨터공학전공,학생부종합,특성화고졸재직자전형(외)
2026,가천대학교,반도체디스플레이학과,학생부종합,조기취업형계약학과전형
2026,가천대학교,반도체설계학과,학생부종합,조기취업형계약학과전형
2026,가천대학교,바이오의료기기학과,학생부종합,조기취업형계약학과전형
2026,가천대학교,게임영상학과,학생부종합,조기취업형계약학과전형
2026,가천대학교,미래자동차학과,학생부종합,조기취업형계약학과전형
2026,가천대학교,회화전공,실기/실적,실기우수자전형
2026,가천대학교,조소전공,실기/실적,실기우수자전형
